Namespace(batch_size=12, class_choice=None, dataset='shapenetpart', dropout=0.5, emb_dims=1024, epochs=200, eval=False, exp_name='part_seg', k=40, lr=0.001, model='dgcnn', model_path='/home/huijie/research/EECS542/FM-3DNet/part_seg/models/40.pth', momentum=0.9, no_cuda=False, num_points=2048, scheduler='cos', seed=1, test_batch_size=12, use_sgd=True, visu='', visu_format='ply')
Using GPU : 0 from 1 devices
Train 102, loss: 1.819576, train acc: 0.724241, train avg acc: 0.438446, train iou: 0.505226
Test 102, loss: 1.824634, test acc: 0.711012, test avg acc: 0.446187, test iou: 0.516045
Train 103, loss: 1.815337, train acc: 0.726164, train avg acc: 0.439579, train iou: 0.506313
Test 103, loss: 1.789948, test acc: 0.736639, test avg acc: 0.449785, test iou: 0.535789
Train 104, loss: 1.808154, train acc: 0.727412, train avg acc: 0.442181, train iou: 0.507746
Test 104, loss: 1.790896, test acc: 0.736125, test avg acc: 0.452328, test iou: 0.532413
Train 105, loss: 1.802700, train acc: 0.728804, train avg acc: 0.443391, train iou: 0.510278
Test 105, loss: 1.785622, test acc: 0.738047, test avg acc: 0.437887, test iou: 0.530586
Train 106, loss: 1.799486, train acc: 0.730965, train avg acc: 0.444524, train iou: 0.512148
Test 106, loss: 1.782788, test acc: 0.737817, test avg acc: 0.454701, test iou: 0.537835
Train 107, loss: 1.811286, train acc: 0.727806, train avg acc: 0.441179, train iou: 0.509546
Test 107, loss: 1.786111, test acc: 0.736427, test avg acc: 0.442967, test iou: 0.531965
Train 108, loss: 1.809890, train acc: 0.727999, train avg acc: 0.442571, train iou: 0.508848
Test 108, loss: 1.787755, test acc: 0.738176, test avg acc: 0.447608, test iou: 0.536284
Train 109, loss: 1.797189, train acc: 0.732701, train avg acc: 0.446365, train iou: 0.513608
Test 109, loss: 1.788743, test acc: 0.726589, test avg acc: 0.444064, test iou: 0.517105
Train 110, loss: 1.805939, train acc: 0.730693, train avg acc: 0.443592, train iou: 0.513080
Test 110, loss: 1.775538, test acc: 0.742157, test avg acc: 0.450993, test iou: 0.537504
Train 111, loss: 1.807063, train acc: 0.730590, train avg acc: 0.444115, train iou: 0.512725
Test 111, loss: 1.798111, test acc: 0.730128, test avg acc: 0.448009, test iou: 0.524656
Train 112, loss: 1.801077, train acc: 0.731959, train avg acc: 0.445566, train iou: 0.512657
Test 112, loss: 1.812818, test acc: 0.725596, test avg acc: 0.445672, test iou: 0.511080
Train 113, loss: 1.803361, train acc: 0.731649, train avg acc: 0.444494, train iou: 0.513850
Test 113, loss: 1.766530, test acc: 0.747496, test avg acc: 0.454386, test iou: 0.550027
Train 114, loss: 1.799878, train acc: 0.732254, train avg acc: 0.444766, train iou: 0.514437
Test 114, loss: 1.820067, test acc: 0.710101, test avg acc: 0.422199, test iou: 0.496762
Train 115, loss: 1.803988, train acc: 0.730807, train avg acc: 0.443746, train iou: 0.511864
Test 115, loss: 1.797531, test acc: 0.725421, test avg acc: 0.456544, test iou: 0.536027
Train 116, loss: 1.815314, train acc: 0.728354, train avg acc: 0.440981, train iou: 0.509675
Test 116, loss: 1.810348, test acc: 0.722058, test avg acc: 0.422396, test iou: 0.508428
Train 117, loss: 1.806843, train acc: 0.731085, train avg acc: 0.445094, train iou: 0.512789
Test 117, loss: 1.769621, test acc: 0.742804, test avg acc: 0.475469, test iou: 0.546811
Train 118, loss: 1.796381, train acc: 0.733978, train avg acc: 0.448344, train iou: 0.515607
Test 118, loss: 1.775855, test acc: 0.743052, test avg acc: 0.451733, test iou: 0.543359
Train 119, loss: 1.797894, train acc: 0.733657, train avg acc: 0.446909, train iou: 0.515520
Test 119, loss: 1.805180, test acc: 0.733625, test avg acc: 0.453424, test iou: 0.525470
Train 120, loss: 1.796747, train acc: 0.734899, train avg acc: 0.447748, train iou: 0.517399
Test 120, loss: 1.791376, test acc: 0.730229, test avg acc: 0.464260, test iou: 0.544898
Train 121, loss: 1.792643, train acc: 0.736368, train avg acc: 0.449003, train iou: 0.518685
Test 121, loss: 1.780622, test acc: 0.740072, test avg acc: 0.449210, test iou: 0.548780
Train 122, loss: 1.792915, train acc: 0.736526, train avg acc: 0.450014, train iou: 0.518878
